ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
204086_at	1.24E-11	2.51E-14	-9.4029433	22.26255	-5.35043813	PRAME	preferentially expressed antigen in melanoma
1554302_s_at	4.16E-06	1.82E-07	-5.7481926	6.913619	-4.24779163	LHFPL3-AS1	LHFPL3 antisense RNA 1
205681_at	1.01E-11	1.82E-14	-9.4756096	22.571002	-4.14889445	BCL2A1	BCL2 related protein A1
1555504_at	5.35E-08	9.70E-10	-6.9875357	11.987715	-4.03194853	TYR	tyrosinase
213638_at	1.05E-09	7.42E-12	-8.105106	16.726333	-3.97775482	PHACTR1	phosphatase and actin regulator 1
212664_at	1.18E-10	4.59E-13	-8.739116	19.434525	-3.96326233	TUBB4A	tubulin beta 4A class IVa
240717_at	1.59E-05	9.27E-07	-5.3470604	5.345571	-3.92167703	ABCB5	ATP binding cassette subfamily B member 5
230251_at	1.04E-10	3.90E-13	-8.775881	19.591499	-3.88835476	LINC00473	long intergenic non-protein coding RNA 473
1554301_at	4.53E-06	2.02E-07	-5.7234362	6.815543	-3.85771593	LHFPL3-AS1	LHFPL3 antisense RNA 1
204475_at	6.60E-06	3.20E-07	-5.6105014	6.370217	-3.81834254	MMP1	matrix metallopeptidase 1
243167_at	1.30E-05	7.26E-07	-5.4081904	5.581478	-3.79419085	ABCB5	ATP binding cassette subfamily B member 5
235400_at	3.86E-07	1.05E-08	-6.4304695	9.672491	-3.79359761	FCRLA	Fc receptor like A
227230_s_at	4.97E-18	1.13E-22	-14.0218051	40.847077	-3.79093191	KIAA1211	KIAA1211
1568574_x_at	3.58E-05	2.49E-06	-5.0979306	4.396701	-3.78997328	SPP1	secreted phosphoprotein 1
240366_at	1.83E-07	4.22E-09	-6.6453218	10.560012	-3.77806082	LHFPL3-AS1	LHFPL3 antisense RNA 1
223975_at	6.06E-08	1.12E-09	-6.9540019	11.847144	-3.75546277	TRIM51	tripartite motif-containing 51
1556299_s_at	2.44E-10	1.18E-12	-8.5245528	18.518036	-3.71022488	C12orf76	chromosome 12 open reading frame 76
209875_s_at	2.68E-06	1.07E-07	-5.877093	7.426803	-3.64338374	SPP1	secreted phosphoprotein 1
1555505_a_at	4.99E-07	1.44E-08	-6.3572891	9.371992	-3.63985384	TYR	tyrosinase
209942_x_at	3.31E-04	3.64E-05	-4.3904787	1.829302	-3.63695343	MAGEA6///MAGEA3	MAGE family member A6///MAGE family member A3
221644_s_at	2.17E-09	1.91E-11	-7.8899212	15.80839	-3.61838364	SLC45A2	solute carrier family 45 member 2
214612_x_at	4.88E-04	5.78E-05	-4.2635533	1.391564	-3.60673822	MAGEA6	MAGE family member A6
244829_at	4.21E-09	4.40E-11	-7.6986497	14.993928	-3.58975404	LINC00518	long intergenic non-protein coding RNA 518
208025_s_at	1.14E-06	3.88E-08	-6.121314	8.409965	-3.58363588	HMGA2	high mobility group AT-hook 2
220245_at	2.08E-09	1.81E-11	-7.9014782	15.857652	-3.5534369	SLC45A2	solute carrier family 45 member 2
227487_s_at	1.99E-06	7.40E-08	-5.9665496	7.785344	-3.55049455	SERPINE2	serpin family E member 2
239239_at	6.01E-06	2.84E-07	-5.6399706	6.486086	-3.52541311	BANCR	BRAF-activated non-protein coding RNA
1556200_a_at	6.19E-11	1.99E-13	-8.9293753	20.246545	-3.43412783	C10orf90	chromosome 10 open reading frame 90
206837_at	6.51E-11	2.14E-13	-8.9134602	20.178654	-3.43307449	ALX1	ALX homeobox 1
229868_s_at	1.07E-06	3.57E-08	-6.1415293	8.491938	-3.41835432	GDF15	growth differentiation factor 15
228375_at	2.49E-07	6.15E-09	-6.5572949	10.195477	-3.40150318	IGSF11	immunoglobulin superfamily member 11
206560_s_at	3.02E-10	1.54E-12	-8.4632721	18.256213	-3.38114587	MIA	melanoma inhibitory activity
1555786_s_at	3.66E-05	2.56E-06	-5.0909633	4.370467	-3.3140548	LINC00520	long intergenic non-protein coding RNA 520
222153_at	2.46E-06	9.70E-08	-5.9013477	7.523827	-3.29220042	MYEF2	myelin expression factor 2
227231_at	1.00E-13	6.64E-17	-10.7752434	28.02506	-3.290899	KIAA1211	KIAA1211
206256_at	2.39E-05	1.53E-06	-5.2208232	4.862178	-3.27818092	CPN1	carboxypeptidase N subunit 1
235372_at	2.25E-07	5.42E-09	-6.5870767	10.318672	-3.27546731	FCRLA	Fc receptor like A
232504_at	4.76E-11	1.41E-13	-9.008277	20.583017	-3.25701413	MIR146A	microRNA 146a
207060_at	5.72E-11	1.76E-13	-8.9573643	20.365924	-3.2295305	EN2	engrailed homeobox 2
230831_at	1.22E-08	1.62E-10	-7.4006985	13.729308	-3.2105736	FRMD5	FERM domain containing 5
202859_x_at	3.02E-07	7.80E-09	-6.5014293	9.964772	-3.20515276	CXCL8	C-X-C motif chemokine ligand 8
215126_at	5.17E-06	2.36E-07	-5.6851659	6.664249	-3.19858613	LINC01314	long intergenic non-protein coding RNA 1314
