ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title	test
1554921_a_at	1.77E-84	7.34E-89	49.32876824	192.3973026	6.055571456	SCEL	sciellin	TRUE
214720_x_at	3.20E-84	2.65E-88	48.84143767	191.1322025	4.83357473	10-Sep	septin 10	TRUE
1555383_a_at	2.45E-80	3.05E-84	45.41554908	181.8944359	5.821888131	POF1B	"premature ovarian failure, 1B"	TRUE
207955_at	4.65E-78	9.63E-82	43.41391473	176.1985798	5.790687442	CCL27	C-C motif chemokine ligand 27	TRUE
1552544_at	4.65E-78	8.12E-82	43.47216572	176.3676481	6.621981632	SERPINA12	serpin family A member 12	TRUE
214040_s_at	1.04E-77	2.58E-81	43.07827504	175.2204438	5.247152356	GSN	gelsolin	TRUE
205337_at	3.56E-77	1.03E-80	42.61113735	173.8477068	6.479482217	DCT	dopachrome tautomerase	TRUE
211734_s_at	2.44E-75	8.09E-79	41.16930241	169.5248712	6.140488514	FCER1A	Fc fragment of IgE receptor Ia	TRUE
1555229_a_at	3.98E-75	1.48E-78	40.97189707	168.9226689	5.419739255	C1S	"complement component 1, s subcomponent"	TRUE
202118_s_at	9.23E-75	3.82E-78	40.66577765	167.9837766	4.308456839	CPNE3	copine 3	TRUE
1558034_s_at	9.87E-75	4.49E-78	40.61360468	167.8231416	4.169107847	CP	ceruloplasmin (ferroxidase)	TRUE
210735_s_at	2.22E-74	1.10E-77	40.32577904	166.9337047	4.670302807	CA12	carbonic anhydrase 12	TRUE
203639_s_at	5.04E-73	2.72E-76	39.31072084	163.7522839	4.184979246	FGFR2	fibroblast growth factor receptor 2	TRUE
210198_s_at	1.20E-72	6.93E-76	39.01783738	162.8211179	4.861426674	PLP1	proteolipid protein 1	TRUE
211194_s_at	8.94E-72	5.55E-75	38.37446493	160.7543717	4.340023483	TP63	tumor protein p63	TRUE
209612_s_at	1.09E-71	7.20E-75	38.29479254	160.4963752	6.817480175	ADH1B	"alcohol dehydrogenase 1B (class I), beta polypeptide"	TRUE
206884_s_at	1.96E-71	1.38E-74	38.09644322	159.8520823	7.387262546	SCEL	sciellin	TRUE
1558214_s_at	2.02E-71	1.51E-74	38.06853236	159.7611909	5.036979622	CTNNA1	catenin alpha 1	TRUE
206539_s_at	3.90E-71	3.07E-74	37.85281835	159.0568019	3.155053662	CYP4F12	cytochrome P450 family 4 subfamily F member 12	TRUE
204201_s_at	1.14E-70	9.86E-74	37.49940399	157.8953699	3.732701901	PTPN13	"protein tyrosine phosphatase, non-receptor type 13"	TRUE
214734_at	1.14E-70	9.91E-74	37.49783126	157.8901808	5.487658045	EXPH5	exophilin 5	TRUE
209211_at	1.46E-70	1.33E-73	37.40853501	157.5952483	5.643836304	KLF5	Kruppel like factor 5	TRUE
207710_at	2.75E-70	2.62E-73	37.20580656	156.923452	7.336022269	LCE2B	late cornified envelope 2B	TRUE
206093_x_at	3.27E-70	3.25E-73	37.1417455	156.7105262	4.740443977	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	TRUE
205433_at	3.73E-70	3.86E-73	37.09028258	156.5392499	4.481960156	BCHE	butyrylcholinesterase	TRUE
205357_s_at	1.08E-69	1.16E-72	36.76248596	155.443579	5.011466891	AGTR1	angiotensin II receptor type 1	TRUE
210544_s_at	1.14E-69	1.27E-72	36.73583159	155.3541258	3.033604295	ALDH3A2	aldehyde dehydrogenase 3 family member A2	TRUE
201984_s_at	1.28E-69	1.49E-72	36.6889037	155.1965016	4.786723896	EGFR	epidermal growth factor receptor	TRUE
207749_s_at	3.63E-69	4.36E-72	36.37233416	154.1287585	3.851638795	PPP2R3A	protein phosphatase 2 regulatory subunit B''alpha	TRUE
204939_s_at	4.33E-69	5.56E-72	36.30080943	153.8864414	4.53395863	PLN	phospholamban	TRUE
213451_x_at	4.33E-69	5.42E-72	36.30822833	153.9115943	4.917746417	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)	TRUE
205653_at	5.06E-69	6.70E-72	36.2457987	153.6998009	4.276800048	CTSG	cathepsin G	TRUE
205624_at	5.89E-69	8.05E-72	36.19209152	153.5173552	5.371753135	CPA3	carboxypeptidase A3	TRUE
207324_s_at	6.51E-69	9.17E-72	36.1539897	153.3877849	8.456342596	DSC1	desmocollin 1	TRUE
209613_s_at	3.31E-68	4.80E-71	35.67266291	151.7411256	6.855471159	ADH1B	"alcohol dehydrogenase 1B (class I), beta polypeptide"	TRUE
213661_at	3.34E-68	4.98E-71	35.6618598	151.7039565	3.559347646	PAMR1	peptidase domain containing associated with muscle regeneration 1	TRUE
209355_s_at	4.60E-68	7.05E-71	35.56145214	151.3580489	5.91406127	PLPP3	phospholipid phosphatase 3	TRUE
1552685_a_at	1.00E-67	1.57E-70	35.33057016	150.5595855	3.832739047	GRHL1	grainyhead like transcription factor 1	TRUE
201130_s_at	4.39E-67	7.09E-70	34.90049165	149.0607251	3.877077274	CDH1	cadherin 1	TRUE
