Gene,COVID-19,MCC,MC
PKP1,0.00633257,1.15E-35,7.66E-06
SLPI,9.74E-06,4.23E-29,5.14E-04
ITGA8,6.98E-08,1.28E-45,2.78E-08
PTPRF,2.63E-06,1.38E-21,9.73E-10
KLC3,2.17E-08,1.66E-51,1.50E-07
BNC1,0.004274308,2.65E-45,1.13E-04
EFEMP1,0.005259161,2.86E-61,1.20E-07
SNCA,5.82E-11,5.98E-42,1.22E-13
MAOA,7.21E-05,6.53E-41,7.06E-11
CNN1,1.32E-05,6.23E-65,3.41E-12
CMA1,0.002379715,1.77E-65,5.13E-10
TRIM29,0.000987009,2.99E-63,6.76E-07
ASS1,2.69E-07,9.76E-33,7.10E-09
COL17A1,0.000261685,7.84E-59,5.80E-07
CRISP3,0.003595904,4.23E-30,3.30E-18
EDNRB,1.78E-06,1.78E-34,1.41E-13
FABP4,0.002586583,1.17E-25,1.36E-08
TFAP2B,0.005840324,5.37E-13,1.85E-03
CDH19,4.93E-06,8.34E-53,3.09E-07
UNC93A,0.001118538,3.25E-35,2.11E-05
SERPINB13,0.003991063,4.09E-34,1.55E-03
SPINK5,0.007177575,5.58E-47,4.91E-05
ESRRG,3.04E-07,5.73E-14,8.66E-08
GSTM5,1.46E-13,2.66E-52,2.80E-14
EGFR,8.80E-06,3.47E-46,2.33E-07
SDC1,1.65E-15,8.47E-39,9.21E-07
HBB,8.01E-07,9.36E-39,3.19E-12
